"Name","LastKnownName","UEN","SocietyRegisteredAddress","RegisteredDate"
"Kang Ming Free Clinic","","T01SS0013F","122 Teck Whye Lane, #01-836 , Singapore 680122","2001-03-13"
"Kannada Sangha (Singapore)","Kannada Association (Singapore)","S96SS0171F","1 North Bridge Road, #19-04 High Street Centre, Singapore 179094","1996-09-30"
"Kapap Federation Asia","","T11SS0056F","22 KEONG SAIK ROAD, Singapore 089129","2011-03-20"
"Kar Yeng Five Districts General Association","","S57SS0030C","4 HINDHEDE ROAD, KAR YENG FIVE DISTRICTS GENERAL ASSOCIATION BUILDING, Singapore 589241","1957-12-19"
"Karaoke Recreation Club","","T09SS0247E","347 BEDOK ROAD, Singapore 469534","2009-11-19"
"Karate-Do Confederation","","T16SS0063D","498A GEYLANG ROAD, GREEN COURT, Singapore 389456","2016-03-29"
"Karate-Do Goju-Kai Singapore","Karate-Do Goju-Kai","S90SS0033A","87 Flora Drive, #08-55 Hedges Park Condominium, Singapore 506889","1990-04-30"
"Karate-Do Union of Singapore","","T09SS0138E","53 UBI AVENUE 1, #05-04 PAYA UBI INDUSTRIAL PARK, Singapore 408934","2009-07-10"
"Karen Baptist Church (Singapore)","","T06SS0004L","811 UPPER SERANGOON ROAD, KIM TIAN CHURCH, Singapore 534675","2006-01-25"
"Karma Kagyud Buddhist Centre","","S81SS0029G","38 Lorong 22 Geylang, Singapore 398695","1981-03-30"
"Karuna Medical International Society of Singapore","","T26SS0045L","1 YISHUN INDUSTRIAL STREET 1, #07-10 A'POSH BIZHUB, Singapore 768160","2026-03-12"
"Karyawan Temasek (Society of Temasek Creative Arts)","","T25SS0001B","285 CHANGI ROAD, #01-285 , Singapore 419764","2025-01-09"
"KASEM DHAMMANAN DHARMA BUDDHIST CENTRE","","T11SS0079D","15A LORONG 4 GEYLANG, Singapore 399272","2011-05-10"
"Katong Convent School Alumnae Association","","S80SS0044K","346 Marine Terrace, Singapore 449150","1980-09-05"
"Katong Football Club","","S98SS0041K","3015A UBI ROAD 1, #04-08 , Singapore 408705","1998-02-06"
"KATONG KWANG IM TNG","","T22SS0119F","40 LORONG 27 GEYLANG, Singapore 388174","2022-09-10"
"Katong Presbyterian Church","","T12SS0172F","42 Joo Chiat Lane, Singapore 428102","2012-08-14"
"Katong Residents' Network","","T25SS0154F","405 JOO CHIAT ROAD, JOO CHIAT COMMUNITY CLUB, Singapore 427633","2025-09-18"
"Katong-Joo Chiat Business Association","","T23SS0028G","319 JOO CHIAT ROAD, Singapore 427570","2023-02-27"
"Kau Luen Tong Sze-to Clan Guild","","S61SS0051D","85 CLUB STREET, #02-02 , Singapore 069453","1961-08-22"
"KAVIMAALAI SINGAPORE (The Society of Tamil Poets, Singapore)","KAVIMAALAI SINGAPORE (SOCIETY OF TAMIL POETS)","T15SS0107K","24 NIVEN ROAD, Singapore 228371","2015-06-27"
"Kay Poh Road Baptist Church","","S64SS0019L","7 Kay Poh Road, Singapore 248963","1964-10-12"
"KAYALPATNAM WELFARE ASSOCIATION","","T04SS0264B","100 JALAN SULTAN, #09-06 SULTAN PLAZA, Singapore 199001","2004-09-28"
"Kaying Lee Clan Association","","S68SS0029C","4 Rochor Road, #03-534 , Singapore 181004","1968-08-05"
"Keat Hong 253 Merchants Association","Keat Hong 253 Merchants Assoiation","T17SS0032J","253 B1-19 CHOA CHU KANG AVENUE 1, KEAT HONG SHOPPING CENTRE, Singapore 680253","2017-02-17"
"Keat Hong Citizens' Consultative Committee","","T02SS0126F","2 CHOA CHU KANG LOOP, #01-01 KEAT HONG COMMUNITY CLUB, Singapore 689687","2002-06-29"
"Keat Hong Zone `5' Residents' Committee","","S94SS0140G","30 Bukit Batok Street 31, Singapore 659440","1994-09-05"
"Keat Hong Zone 1 Residents' Network","Keat Hong Zone '1' Residents' Committee","S95SS0084C","340 CHOA CHU KANG LOOP, #01-09 , Singapore 680340","1995-01-27"
"Keat Hong Zone 2 Residents' Network","Keat Hong Zone '2' Residents' Committee","S94SS0156K","30 Bukit Batok Street 31, Singapore 659440","1994-11-24"
"Keat Hong Zone 3 Residents' Network","Keat Hong Zone `3' Residents' Committee","T00SS0216D","30 Bt Batok St. 3, c/o Hong Kah Constituency Secretariat Hong Kah North CC, Singapore 659440","2000-11-11"
"Keat Hong Zone 4 Residents' Network","Keat Hong Zone '4' Residents' Committee","T01SS0178G","454 CHOA CHU KANG AVENUE 4, #01-107 , Singapore 680454","2001-08-29"
"Keat Hong Zone 5 Residents' Network","","T25SS0115D","2 CHOA CHU KANG LOOP, #01-01 KEAT HONG COMMUNITY CLUB, Singapore 689687","2025-07-31"
"Keat Hong Zone 6 Residents' Network","Keat Hong Zone `6' Residents' Committee","S94SS0139K","273 CHOA CHU KANG AVENUE 2, #01-241 , Singapore 680273","1994-09-05"
"Keat Hong Zone 7 Residents' Network","Keat Hong Zone `7` Residents' Committee","S94SS0141C","421 CHOA CHU KANG AVENUE 4, #01-220 , Singapore 680421","1994-09-05"
"Keat Hong Zone 8 Residents' Network","Keat Hong Zone 8 RC","T15SS0093C","426 CHOA CHU KANG AVENUE 4, #01-168 , Singapore 680426","2015-06-05"
"Keat Hong Zone 9 Resident's Network ","Keat Hong Zone 9 Residents' Committee","S92SS0086B","421 Choa Chu Kang Avenue 4, #01-218 , Singapore 680421","1992-04-16"
"Keat Sun Beo","","S94SS0028G","56 Hougang Avenue 3, Singapore 538841","1994-04-06"
"Kebun Baru Alpha Residents' Committee","Ang Mo Kio Zone 'A' Residents' Committee","S80SS0166C","216 Ang Mo Kio Avenue 4, Singapore 569897","1980-07-10"
"Kebun Baru Bestari Residents' Network","Kebun Baru Bestari Residents' Committee","S80SS0167K","216 Ang Mo Kio Avenue 4, Singapore 569897","1980-07-10"
"Kebun Baru Birdsinging Club","","T08SS0152A","279 BALESTIER ROAD, #02-27 BALESTIER POINT, Singapore 329727","2008-06-26"
"Kebun Baru Citizens' Consultative Committee","Kebun Baru Constituency Citizens' Consultative Committee","S81SS0121H","216 Ang Mo Kio Avenue 4, Singapore 569897","1981-11-12"
"Kebun Baru Grove Residents' Network","Kebun Baru Grove Residents' Committee","S84SS0115B","216 Ang Mo Kio Ave 4, Singapore 569897","1984-09-14"
"Kebun Baru Heights Residents' Network","Kebun Baru Heights Residents' Committee","S80SS0168F","216 Ang Mo Kio Avenue 4, Singapore 569897","1980-07-10"
"Kebun Baru Link Residents' Network","Kebun Baru Link Residents' Committee","S82SS0087F","2161 Ang Mo Kio Avenue 4, Singapore 569897","1982-10-30"
"Kebun Baru Mayflower Gardens Residents' Network","","T22SS0131D","216 ANG MO KIO AVENUE 4, KEBUN BARU COMMUNITY CLUB, Singapore 569897","2022-10-11"
"Kebun Baru Spring Residents' Network","Kebun Baru Spring Residents' Committee","S80SS0169B","216 Ang Mo Kio Ave 4, Singapore 569897","1980-07-10"
"Kebun Baru Thomson Hills Residents' Network","","T22SS0130H","216 ANG MO KIO AVENUE 4, KEBUN BARU COMMUNITY CLUB, Singapore 569897","2022-10-11"
"Kebun Baru Thomson Residents' Network","","T22SS0135K","216 ANG MO KIO AVENUE 4, KEBUN BARU COMMUNITY CLUB, Singapore 569897","2022-10-13"
"Kebun Baru View Residents' Network","Kebun Baru View Residents' Committee","T15SS0202K","113 ANG MO KIO AVENUE 4, #01-343 , Singapore 560113","2015-12-02"
"Kebun Baru Villas Residents' Network","","T22SS0134C","216 ANG MO KIO AVENUE 4, KEBUN BARU COMMUNITY CLUB, Singapore 569897","2022-10-11"
"Kebun Baru Vista Residents' Network","","T22SS0133G","216 ANG MO KIO AVENUE 4, KEBUN BARU COMMUNITY CLUB, Singapore 569897","2022-10-11"
"Keelat Theatre Ensemble","","T10SS0162B","105 Tampines Road, #05-03 , Singapore 535127","2010-12-05"
"Keep-Fit Qigong Association (Singapore)","","S88SS0031B","40 Canberra Drive, #12-02 Yishun Sapphire, Singapore 768433","1988-04-25"
"Keglerz Bowling Club","","T16SS0196J","91 BUKIT BATOK WEST AVENUE 2, #03-05 CLUB CSC @ BUKIT BATOK, Singapore 659206","2016-11-07"
"Kelab Budaya Remaja Millenia","","T08SS0210B","218F Changi Road, #03-07 PKMS Building, Singapore 419737","2008-12-09"
"KELAB MUSLIMAH (SINGAPURA)","","T17SS0207L","53 JURONG EAST AVENUE 1, #01-02 PARC OASIS, Singapore 609783","2017-10-30"
"Kelab Sukan Keretapi Singapura (Railway Recreation Club, Singapore)","","S67SS0004H","30 Keppel Road, Malayan Railway Compound, Singapore 089059","1967-06-02"
"Kelantan Residents' Network ","Kampong Glam Kelantan Residents' Committee","S98SS0071C","69 Jellicoe Road, Jalan Besar Constituency Secretariat, Singapore 208737","1998-03-27"
"Kellogg Brown & Root Sports Club","Brown & Root Sports Club","S77SS0050H","79 Anson Road, #20-01 , Singapore 079906","1977-09-09"
"Kellogg School of Management Alumni Club of Singapore","","T14SS0138E","28 YAN KIT ROAD, #03-04 ARRIS, THE, Singapore 088271","2014-08-22"
"Kembangan Citizens' Consultative Committee","Kembangan-Chai Chee Citizens' Consultative Committee","S80SS0121C","10 JALAN UBI, #01-01 KAMPONG UBI COMMUNITY CENTRE, Singapore 409075","1980-05-24"
"Kembangan United Football Club","","T02SS0096F","101 Lorong Sarina, #02-16 Casa Sarina, Singapore 416729","2002-06-25"
"Kembangan-Punggol Vale Residents' Committee","","S88SS0079A","809 Hougang Central, #04-178 , Singapore 530809","1988-03-11"
"Keming Primary School Alumni Association","","T05SS0122D","90 Bukit Batok East Avenue 6, #01-00 Keming Primary School, Singapore 659762","2005-03-30"
"KEMPO FEDERATION (SINGAPORE)","","T16SS0165J","7 BEDOK NORTH STREET 2, #02-01 , Singapore 469646","2016-09-23"
"Ken Shin Kai Karate Club","","S97SS0057H","106 INTERNATIONAL ROAD, C/O CHRISTOPHER YAP &CO, Singapore 629175","1997-03-07"
"Ken Syu Kan Karate-Do Association","","T08SS0201D","106 CLEMENTI STREET 12, #04-46 , Singapore 120106","2008-11-14"
"Ken Yu Kai Karate Association (Singapore)","","S91SS0094K","15 LEONIE HILL ROAD, #03-06 HORIZON TOWERS EAST, Singapore 239194","1991-10-02"
"Keng Jai Suan Soon Tang Yeo Wui","","S40SS0007K","38-C Changi Road, Singapore 419701","1940-11-14"
"Keng Teck Whay","","S62SS0018E","32 LORONG 104 CHANGI, Singapore 426576","1962-04-30"
"Keng Yai Choo Tee Clan","","S49SS0010L","124 Telok Kurau Road, Singapore 423808","1949-07-07"
"Kent Ridge Hall Alumni","K E Hall AT Kent Ridge Alumni (KEKR Alumni)","S83SS0041D","5 Lower Kent Ridge Road, Kent Ridge Hall, Singapore 119074","1983-06-06"
"Kent Ville Residents' Network","Kent Ville Residents' Committee","S83SS0077F","51 Kent Road, #01-35 , Singapore 210051","1983-09-23"
"KEO Connect","","T14SS0178C","100 Jalan Sultan, #02-46 Sultan Plaza, Singapore 199001","2014-11-28"
"Keow Siong Club","","S52SS0011H","14 Bukit Pasoh Road, Singapore 089828","1952-07-31"
"Keppel Bay Residents' Network","","T20SS0028C","51 TELOK BLANGAH CRESCENT, RADIN MAS COMMUNITY CLUB, Singapore 098917","2020-02-17"
"Keppel Club, The","","S61SS0093E","239 SIME ROAD, KEPPEL CLUB, Singapore 289685","1961-03-28"
"Keppel FELS Subcontractors Executive Council","","T10SS0123L","50 Gul Road, Singapore 629351","2010-08-25"
"Keppelite Recreation Club (KRC)","The Keppel Shipyard Recreation Association","S75SS0019H","51 Pioneer Sector One, Singapore 628437","1975-09-16"
"Kesatuan Anak-Anak Bagan (Singapura)","","S50SS0008J","121 Bedok North Road, #11-183 , Singapore 460121","1950-05-10"
"Kew Ong Yah Temple","","S94SS0022J","561 Yishun Ring Road, #1-1 Unit 2, Singapore 768682","1994-08-13"
"Kew Thian Hian Neo Keng","","S98SS0029A","772 Lorong 3 Geylang, Singapore 389087","1998-02-25"
"Khachod Wangchuk Norkyil Ling","","T19SS0132K","13A LORONG 4 GEYLANG, Singapore 399270","2019-07-04"
"Khai Leong Temple Association","","S68SS0041A","20 Lorong 24A Geylang, Singapore 398544","1968-10-16"
"Khalsa Dharmak Sabha","","S24SS0001D","18 Niven Road, Singapore 228365","1924-01-17"
"Khalsa Jiwan Sudhar Sabha","","S31SS0001C","50-A Club Street, Singapore 069427","1931-05-15"
"Khangmar Yeshe Shen Dharma Centre","","T08SS0011E","10C HOUGANG STREET 11, THE MINTON, Singapore 534077","2008-01-15"
"Khatib Bongsu Residents' Network","","T26SS0046G","1 YISHUN AVENUE 9, NEE SOON EAST COMMUNITY CLUB, Singapore 768893","2026-03-12"
"Khatib Central Business Association","Khatib City Business Association","S92SS0109G","848 Yishun Street 81, #01-126 , Singapore 760848","1992-06-13"
"Khatib Spring Residents' Network","Khatib Spring Residents' Committee","S88SS0119F","1 NORTHPOINT DRIVE, #01-201 NORTHPOINT CITY, Singapore 768019","1988-08-24"
"Khek Lim Clan Association, The","","S51SS0002E","531 Upper Cross Street, #03-05 , Singapore 050531","1951-02-13"
"KHENG CHENG SCHOOL ALUMNI","Kheng Cheng School Old Boys' Association","T08SS0254F","15 Lorong 3 Toa Payoh, Singapore 319580","2008-12-29"
"Kheng Chiu Loke Tin Kee Home","","S92SS0060E","70 Tampines Avenue 4, Kheng Chiu Happy Lodge, Singapore 529681","1992-04-29"
"Kheng Jai Nam Hoo Thong Yang Wui","","S49SS0013K","629 ALJUNIED ROAD, #08-18 CITITECH INDUSTRIAL BUILDING, Singapore 389838","1949-08-05"
"Kheng Jai Sar Kang Association","Kheng Jai Sar Kung Association","S36SS0003J","19 2nd Floor Lorong 13 Geylang, Singapore 388662","1936-08-08"
"Kheng Keow Coffee Merchants Restaurant & Bar Owners Association","","S83SS0080F","110 Middle Road, #08-01/02 Chiat Hong Building, Singapore 188968","1983-11-28"
"Kheng Kiew Association, Changi, Singapore","","S57SS0015F","42A Lorong 23 Geylang, Singapore 388374","1957-04-01"
"Kheng Zai Cheng Clan Association","","S63SS0011E","30A Seah Street, Singapore 188384","1963-11-26"
"Kheng Zai Yeo Clan Association (Singapore)","Singapore Kheng Zai Yeo Clan Association","S40SS0013J","16 Purvis Street, Singapore 188595","1940-12-18"
"Khiang Khoon Tian Dragon and Lion Dance Association","","T04SS0139J","7030 ANG MO KIO AVENUE 5, #07-31 NORTHSTAR @ AMK, Singapore 569880","2004-07-26"
"Kho Kho Association (Singapore)","","T22SS0123B","51 UBI AVENUE 1, #05-27 PAYA UBI INDUSTRIAL PARK, Singapore 408933","2022-09-22"
"Khong Bee, Lim Si Union, Singapore","","S47SS0024A","10 Joo Avenue, Singapore 219305","1947-07-11"
"Khoon Chee Vihara","","S99SS0092C","23 Lorong Mydin, Singapore 416824","1999-07-29"
"Khoon Kang Lian Ngee Sia (Singapore)","","S95SS0154A","48 Lorong 8 Geylang Road, Singapore 399108","1995-11-07"
"Khoon Seng Tng","","T12SS0065J","4 TELOK BLANGAH DRIVE, Singapore 109257","2012-04-18"
"Khoon Yew Athletic Association","","S83SS0013C","45 KALLANG PUDDING ROAD, #04-03D ALPHA BUILDING, Singapore 349317","1983-08-11"
"Khuan Woo Physical Club","","T02SS0029C","17F LORONG 15 GEYLANG, Singapore 388608","2002-07-24"
"Khush Khabri Fellowship","Khush Kabri Church","S92SS0004C","3 Everton Park, #03-65 , Singapore 080003","1992-05-22"
"Khyenkong Tharjay Buddhist Charitable Society","","T05SS0083F","26A LORONG 23 GEYLANG, Singapore 388364","2005-07-06"
"KIAN KUN TIAN","","T08SS0094L","7030 ANG MO KIO AVENUE 5, #07-31 NORTHSTAR @ AMK, Singapore 569880","2008-05-07"
"Kiangsi Association, Singapore, The","","S61SS0022G","277 Jalan Besar, Singapore 208942","1961-11-13"
"Kiat Leng San Temple","","S94SS0054E","489 Serangoon North Avenue 1, Singapore 555891","1994-04-15"
"Kickboxing Federation of Singapore","","T18SS0133A","47 BEACH ROAD, #03-03 KHENG CHIU BUILDING, Singapore 189683","2018-09-25"
"Kidney Fund Organisation","","T05SS0243A","112 East Coast Road, #B2-05 Katong Mall, Singapore 428802","2005-09-02"
"KIDS OF MALAWI (SINGAPORE)","","T17SS0139E","51 MEYER ROAD, #20-04 THE BELVEDERE, Singapore 437874","2017-08-02"
"kids'philharmonic@sg","","T12SS0123K","178 Lornie road, Singapore 298715","2012-07-02"
"Kiew Hong Giam Hwu Clan Association","","S97SS0099J","691 Geylang Road, #04-01 Nanyang Hwu Clan General Association Building, Singapore 389613","1997-07-15"
"Kiew Lee Shi Hak Sia","","S47SS0025H","5 Jalan Tambur, off Upper Thomson Road 6 1/2Ms, Singapore 576778","1947-07-29"
"Kiew Lee Tong Temple","","S87SS0067K","5 Jalan Tambur, off Upper Thomson Road, Singapore 576778","1987-05-11"
"Kiew Sian King Athletic Association","","S94SS0151H","7 Tampines Avenue, Singapore 529786","1994-12-30"
"Kilakkarai Welfare Association (Singapore)","","S99SS0108B","1 North Bridge Road, #10-10 High Street Centre, Singapore 179094","1999-07-28"
"KIM ANN ONG'S ASSOCIATION","","T15SS0036E","161 KAKI BUKIT AVENUE 1, SHUN LI INDUSTRIAL PARK, Singapore 416015","2015-03-09"
"Kim Chuan Whuap Tuah Temple, The","","S69SS0014A","397 Bukit Batok West Avenue 8, Singapore 658964","1969-11-05"
"Kim Eang Tong","","S93SS0093B","791 Ang Mo Kio Avenue 1, Singapore 569974","1993-09-10"
"Kim Hong Lord Buddha Temple","Kim Hong Lord Huddha Temple","T12SS0138F","26 ARUMUGAM ROAD, Singapore 409964","2012-07-23"
"Kim Hong Temple","","S89SS0100J","554 Changi Road, Singapore 419934","1989-11-14"
"Kim Huat R&E Basketball Club","","T17SS0167F","1034 EUNOS AVENUE 5, #01-42 , Singapore 409743","2017-09-06"
"Kim Hup Huat Motor-Boat Operators Association","","S76SS0011A","531 Upper Cross Street, #04-109 , Singapore 050531","1976-10-14"
"Kim Keat Christian Church","","S96SS0046B","11 Beng Wan Road, Singapore 339843","1996-01-25"
"Kim Keng Kok","","S37SS0001L","301 Shunfu Road, #01-13 , Singapore 570301","1937-01-13"
"Kim Lan Senior Citizens' Mutual Association","","T06SS0084G","79 Jalan Chempaka Kuning, Singapore 489117","2006-03-09"
"Kim Mui Hoey Kuan","","S85SS0029E","72 Keng Lee Road, Singapore 219248","1985-01-30"
"Kim San Tze Temple Association, Singapore","","S68SS0018B","25 Jalan Ulu Siglap, Singapore 457182","1968-05-04"
"Kim Seng Constituency Citizens' Consultative Committee","","S80SS0122K","570 Havelock Road, Singapore 169640","1980-05-24"
"Kim Tian Christian Church Singapore","Kim Tian Church","S66SS0042J","811 Upper Serangoon Road, Singapore 534675","1966-12-15"
"Kim Tian East Residents' Committee","Kim Tian East Residents' Committee (Tanjong Pagar GRC)","S81SS0100B","128 KIM TIAN ROAD, #01-111 , Singapore 160128","1981-08-26"
"Kim Tian West Residents' Network","Kim Tian West Residents' Committee","S81SS0099J","118A JALAN MEMBINA, #01-143 , Singapore 161118","1981-08-26"
"Kin-Ball Association of Singapore","Singapore Kin-Ball Federation","T14SS0121F","60 PAYA LEBAR ROAD, #06-28 PAYA LEBAR SQUARE, Singapore 409051","2014-07-28"
"Kind Gift","","T08SS0162F","821 Tampines Street 81, #01-214 , Singapore 520821","2008-09-29"
"Kindness Senior Citizens Club","","T06SS0079D","16 Lorong 13  Geylang, Singapore 388659","2006-03-06"
"KINDS FAMILY","","T11SS0034D","60 PAYA LEBAR ROAD, #12-55 PAYA LEBAR SQUARE, Singapore 409051","2011-02-18"
"King George's Avenue Residents' Committee","Jalan Besar `King George's Avenue' Residents' Committee","S81SS0047C","69 Jellicoe Road, Singapore 208737","1981-02-27"
"King of Glory Church","","T00SS0052C","35A Norris Road (Second Floor), Singapore 208277","2000-01-03"
"KINGDOM ADVANCE COMMUNITY","Breakthru Community Church","T00SS0187L","26 CHOA CHU KANG STREET 64, #05-02 WINDEMERE, Singapore 689096","2000-09-16"
"KINGDOM CITY CHURCH","Kingdom City","T06SS0179F","151 CHIN SWEE ROAD, #02-26 MANHATTAN HOUSE, Singapore 169876","2006-09-19"
"Kingdom Life Church","","T17SS0209C","185 TANJONG RHU ROAD, #4-04-04 SANCTUARY GREEN, Singapore 436924","2017-11-01"
"Kingdom Life Community Church","Living Spring Fellowship (Assemblies Of God)","S95SS0041F","37 JALAN PEMIMPIN, #08-12 MAPEX, Singapore 577177","1995-01-18"
"Kingdom of Jesus Christ Society","","T01SS0001J","98A DESKER ROAD, #-S3 DESKER ROAD CONSERVATION AREA, Singapore 209620","2001-05-09"
"King's College London Alumni Society (Singapore)","King's College London Alumni Association (Singapore)","T06SS0307E","20 SIN MING LANE, #06-55 MIDVIEW CITY, Singapore 573968","2006-12-26"
"KiQ OFF","","T19SS0012J","7 TEMASEK BOULEVARD, #12-07 SUNTEC TOWER ONE, Singapore 038987","2019-01-11"
"Kirin Xiangqi","","T25SS0047J","7030 ANG MO KIO AVENUE 5, #09-46 NORTHSTAR @ AMK, Singapore 569880","2025-04-03"
"Kite Flying Association","","T17SS0065A","620 BUKIT BATOK CENTRAL, #08-528  , Singapore 650620","2017-04-08"
"Kitesurfing Association (Singapore)","","T13SS0011E","3023 UBI ROAD 3, #02-17 UBIPLEX 1, Singapore 408663","2013-01-18"
"Kityang Kwee Lim Low Clan Association, The","","S64SS0048H","15 Lorong 4 Geylang, Singapore 399272","1964-09-29"
"Kityang Tay Si Association (Singapore)","","T01SS0063J","159 Tembeling Road, Singapore 423668","2001-03-07"
"Kiu Kiu Association","","S86SS0071A","43F Lorong 6 Geylang Road, Singapore 399198","1986-06-24"
"Kiung Jai Lee Clan Association","","S40SS0015A","31-A Seah Street, Singapore 188387","1940-12-02"
"Kiung Jai Nam Boey Village Association","","S48SS0005C","19 Lorong 13 Geylang, #04-00 , Singapore 388662","1948-03-02"
"Kiung Jai Ong Clan Association","","S38SS0008K","40 Lorong 24A Geylang, Singapore 398564","1938-08-20"
"Kiwanis Club of Singapore (Delta Chapter)","","T04SS0059F","38 SianTuan Avenue, Singapore 588312","2004-03-09"
"Klenco Recreation Club","","S88SS0075F","18 Gul Crescent, Singapore 629527","1988-08-25"
"KLT DRAGON AND LION ATHLETIC ASSOCIATION","","T22SS0104K","1014 GEYLANG EAST AVENUE 3, #03-216 GEYLANG EAST INDUSTRIAL ESTATE, Singapore 389729","2022-08-05"
"KLUB ESQ165","","T07SS0270E","832 Sims Ave, #02-880 , Singapore 400832","2007-12-14"
"K'myang of Cambodia","","T11SS0087F","5A ADAM ROAD, #01-02 , Singapore 289881","2011-05-22"
"Knowledge Management Society (KMS), Singapore","Information and Knowledge Management Society","T01SS0049H","14 ROBINSON ROAD, #08-01A FAR EAST FINANCE BUILDING, Singapore 048545","2001-02-20"
"KODIKKALPALAYAM ASSOCIATION (SINGAPORE)","","T18SS0185G","340 GEYLANG ROAD, #01-08 LE REGAL, Singapore 389365","2018-12-16"
"Koh Leng Association","","S51SS0007G","4-A Lorong 7 Geylang, Singapore 388788","1951-07-25"
"Koi Club (Singapore), The","","S89SS0099E","78 LORONG AH SOO, Singapore 536722","1989-06-12"
"Koinonia Inclusion Network","","T19SS0269K","133 FIDELIO STREET, BETHANY EVANGELICAL FREE CHURCH, Singapore 458518","2019-12-29"
"Kolam Ayer Citizens' Consultative Committee","Kolam Ayer Constituency Citizens' Consultative Committee","S80SS0123F","1 GEYLANG BAHRU LANE, KOLAM AYER COMMUNITY CLUB, Singapore 339631","1980-05-24"
"Kolam Ayer Geylang Bahru Residents' Network","Kolam Ayer Geylang Bahru Residents' Committee","S80SS0081J","3188 Geylang Bahru, Singapore 339717","1980-04-24"
"Kolam Ayer Kallang Bahru Residents' Network","Kolam Ayer Kallang Bahru Residents' Committee","S80SS0082E","3188 Geylang Bahru, Singapore 339717","1980-04-24"
"Kolam Ayer Residents' Network","","T23SS0048F","1 GEYLANG BAHRU LANE, KOLAM AYER COMMUNITY CLUB, Singapore 339631","2023-04-05"
"Kolam Ayer Sims Vista Residents' Network","Kolam Ayer Sims Vista Residents' Committee","S80SS0068D","1205 Upper Boon Keng Road, Singapore 387311","1980-04-24"
"Kolam Ayer St George's East Residents' Network","Kolam Ayer St. George's East Residents' Network","S86SS0029K","3188 Geylang Bahru, Singapore 339717","1986-01-20"
"Kolam Ayer St George's West Residents' Network","Kolam Ayer St. George's West Residents' Network","S80SS0072L","3188 Geylang Bahru, Singapore 339717","1980-04-24"
"Kolam Ayer Whampoa South Residents' Network","Kolam Ayer Whampoa South Residents' Committee","S80SS0080B","3188 Geylang Bahru, Singapore 339717","1980-04-24"
"KOMODO","","T05SS0276D","10 Anson Road, #22-13 International Plaza, Singapore 079903","2005-12-23"
"Kong Beng Tong Temple Association","","S84SS0011E","23 Serangoon North Avenue 3, Singapore 555863","1984-03-23"
"Kong Chow Wui Koon","","S62SS0011L","321 New Bridge Road, Singapore 088758","1962-09-17"
"Kong Hong Association","","T00SS0195B","200 Jalan Sultan, #03-02 Textile Centre, Singapore 199018","2000-09-25"
"Kong Hwa School Alumni","","S92SS0108L","350 GUILLEMARD ROAD, KONG HWA SCHOOL, Singapore 399772","1992-11-17"
"KONG HWA VSP","","T09SS0221H","350 GUILLEMARD ROAD, KONG HWA SCHOOL, Singapore 399772","2009-10-13"
"Kong Mern Moral Society","","S92SS0079G","22 GENTING ROAD, THE BLUE BUILDING, Singapore 349480","1992-07-11"
"Kongjin Qigong Association (Singapore)","","S93SS0099L","20 BUKIT BATOK CRESCENT, #03-01 ENTERPRISE CENTRE, Singapore 658080","1993-11-29"
"Koo Hong Tng Poh Seh Tai Tee Association","","S94SS0056H","235 Braddell Road, Singapore 359939","1994-04-18"
"Koon Sing Friendly Association","","T06SS0217H","5001 BEACH ROAD, #03-64C GOLDEN MILE COMPLEX, Singapore 199588","2006-11-14"
"Koon Teck Tng","","S90SS0006G","525 Balestier Road, Singapore 329854","1990-06-21"
"Koon Tiong Senior Citizen Friendly Association","","T07SS0038D","5001 BEACH ROAD, #03-65 GOLDEN MILE COMPLEX, Singapore 199588","2007-04-30"
"Koothanallur Association","Koothanallur Family Club (Singapore)","S96SS0158A","100 JALAN SULTAN, #09-01 GOLDEN SULTAN PLAZA, Singapore 199001","1996-10-05"
"Korea Innovation LaunchPad in Singapore ","","T17SS0142E","12 MARINA VIEW, #23-01 ASIA SQUARE TOWER 2, Singapore 018961","2017-08-07"
"Korea Sports Association in Singapore","","T26SS0032G","865 MOUNTBATTEN ROAD, #05-02 KATONG SHOPPING CENTRE, Singapore 437844","2026-02-12"
"Korean Association in Singapore","Korean Association (Singapore)","S80SS0048E","71 TANJONG PAGAR ROAD, #03-01 , Singapore 088492","1980-10-15"
"Korean Buddhist Association, Singapore (Yeon Hwa Won)","Korean Buddhist Association (Singapore)","S96SS0113A","24 Lorong 29 Geylang, #02-00 Leow Sih Building, Singapore 388073","1996-06-26"
"Korean Church in Singapore","","S83SS0003J","21 GANGSA ROAD, Singapore 678973","1983-05-04"
"Korean Scholarship Association in Singapore","","T12SS0117L","20 TOH GUAN ROAD, #08-01 CJ GLS Building, Singapore 608839","2012-06-26"
"Korean Scientists and Engineers Association in Singapore","","T16SS0031H","20 MAXWELL ROAD, #09-17 MAXWELL HOUSE, Singapore 069113","2016-02-17"
"Korean Seamen's Mission, (Singapore)","","S94SS0003F","80 JELLICOE ROAD, #02-02 Citiylights, Singapore 208766","1994-05-03"
"Korean Women's Association in Singapore","","T10SS0132J","12 CASHEW ROAD, #03-12 ESPA, Singapore 679693","2010-09-06"
"Korfball Singapore","","T23SS0132E","60 YUNNAN WALK 3, Singapore 638185","2023-11-09"
"Kota Raja Club","","S09SS0004L","597A Geylang Road, Singapore 389356","1909-06-17"
